region,x,y,LnP,LnPXLnP,MinT,MinTXMinT,MinTXLnP
1,-111.4314286,31.70754197,0.249434903,0.002387398,9.800000191,124.6917568,0.54560869
1,-111.25464,31.70754197,0.60360533,0.162434336,8.130000114,90.18439062,3.827406643
1,-111.0778514,31.70754197,0.040277854,0.025694822,9.960000038,128.2906482,-1.815600536
1,-110.9010628,31.70754197,1.048300982,0.71864121,7.119999886,72.02146332,7.194274914
1,-110.7242742,31.70754197,0.528154612,0.107309125,7.610000134,80.57838287,2.94054344
1,-110.5474855,31.70754197,0.180987298,0.000383635,7.460000038,77.90791731,-0.172882016
1,-110.3706969,31.70754197,0.102466337,0.009625093,8.130000114,90.18439062,-0.931682977
1,-110.1939083,31.70754197,-0.114401236,0.099209335,8.239999771,92.2857242,-3.025823075
1,-110.0171197,31.70754197,0.115558341,0.007227645,8.220000267,91.90187187,-0.815005571
1,-109.840331,31.70754197,0.370597571,0.02890805,7.889999866,85.68364383,1.573831961
1,-109.6635424,31.70754197,-0.037805706,0.056824835,7.78000021,83.65931,-2.180350088
1,-109.4867538,31.70754197,0.409988135,0.043854323,6.75,65.87832112,1.699720324
1,-109.3099652,31.70754197,0.923584104,0.522743759,4.619999886,35.83873323,4.328333873
1,-109.1331766,31.70754197,0.435023904,0.054966806,6.849999905,67.51162878,1.926369275
1,-108.9563879,31.70754197,0.537779093,0.113707344,5.559999943,47.97704054,2.335667326
1,-108.7795993,31.70754197,0.273912668,0.005378575,5.840000153,51.93430936,0.528519249
1,-108.6028107,31.70754197,0.027906971,0.029813867,6.090000153,55.6000825,-1.287498925
1,-108.4260221,31.70754197,-0.016332606,0.047048431,6.150000095,56.4984672,-1.630387756
1,-108.2492335,31.70754197,-0.057311364,0.066504808,5.880000114,52.51243251,-1.868777467
1,-112.668949,31.8843306,-0.068921484,0.07262776,12.26000023,185.6827657,-3.672291304
1,-112.4921604,31.8843306,-0.016434278,0.047092548,11.67000008,169.9515371,-2.829037105
1,-112.3153717,31.8843306,-0.026446655,0.051538331,11.46000004,164.5202867,-2.911889597
1,-112.1385831,31.8843306,0.081856437,0.014093835,11.48999977,165.2907726,-1.526296474
1,-111.9617945,31.8843306,0.137062669,0.004033676,11.64999962,169.4304633,-0.826696807
1,-111.7850059,31.8843306,0.210260943,0.0000938,11,152.9314633,0.119795296
1,-111.6082173,31.8843306,0.418644577,0.047554822,8.300000191,93.44211782,2.107990333
1,-111.4314286,31.8843306,-0.011465472,0.044960694,9.970000267,128.5172843,-2.403794147
1,-111.25464,31.8843306,0.561385632,0.130185108,9.119999886,109.9676474,3.783668859
