region,x,y,intercept,LnP,LnPXLnP,MinT,MinTXMinT,MinTXLnP,obs,prob
1,-113.5528921,32.23790785,1,-0.47048372,0.450318326,12.28999996,186.5012512,-9.164329283,0,0
1,-113.3761035,32.23790785,1,-0.487760335,0.473804015,12.5,192.2811017,-9.544818385,0,0
1,-113.1993148,32.23790785,1,-0.442232788,0.413200434,12.48999977,192.0038644,-8.907080332,0,0
1,-113.0225262,32.23790785,1,0.000699752,0.039949674,11.38000011,162.4744412,-2.547705032,0,0
1,-112.8457376,32.23790785,1,-0.197963238,0.158831848,12.13000011,182.1567606,-5.37887487,0,0
1,-112.668949,32.23790785,1,-0.084904499,0.081497915,11.64999962,169.4304633,-3.715942607,0,0
1,-112.4921604,32.23790785,1,-0.150357872,0.123153107,10.88000011,149.977895,-4.297702142,0,0
1,-112.3153717,32.23790785,1,-0.164167345,0.133036173,11.07999992,154.9165087,-4.539768662,0,0
1,-112.1385831,32.23790785,1,-0.159934029,0.129965965,10.93999958,151.4510674,-4.436607271,0,0
1,-111.9617945,32.23790785,1,-0.166408867,0.134676349,11.21000004,158.1695136,-4.615375671,0,0
1,-111.7850059,32.23790785,1,-0.088066481,0.083313268,11.03999996,153.922386,-3.581030155,0,0
1,-111.6082173,32.23790785,1,0.054772209,0.021258132,11.35000038,161.7105552,-1.854093942,0,0
1,-111.4314286,32.23790785,1,0.020488663,0.032430692,11.67000008,169.9515371,-2.347689479,0,0
1,-111.25464,32.23790785,1,0.072878622,0.016306083,11.60999966,168.3907406,-1.657043589,0,0
1,-111.0778514,32.23790785,1,0.184153229,0.000269638,11.46000004,164.5202867,-0.210620456,0,0
1,-110.9010628,32.23790785,1,0.175296903,0.000638926,11.52000046,166.063083,-0.325733165,0,0
1,-110.7242742,32.23790785,1,0.261748672,0.003742353,11.21000004,158.1695136,0.769367377,0,0
1,-110.5474855,32.23790785,1,0.833300352,0.400342767,6.480000019,61.56828651,4.964717331,0,0
1,-110.3706969,32.23790785,1,0.389877528,0.035835865,8.81000042,103.5620997,1.926457213,0,0
1,-110.1939083,32.23790785,1,0.396491647,0.038383765,8.170000076,90.9457136,1.868378674,0,0
1,-110.0171197,32.23790785,1,0.54127717,0.11607872,7.619999886,80.75800934,3.061745643,0,0
